obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temp,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('24',)",3771301804,14,3.484030008,3779218459,3779218533,3771301804,0,internal_timestamp,71.64299774,1562313004,33.89590073,0,7.585499763,1026.798543,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('25',)",3771301805,14,3.484019995,3779218459,3779218533,3771301805,0,internal_timestamp,71.65000153,1562313005,33.89580154,0,7.585499763,1026.798497,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('26',)",3771301805,14,3.484009981,3779218459,3779218533,3771301805,0,internal_timestamp,71.65299988,1562313005,33.89569855,0,7.585499763,1026.79843,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('27',)",3771301805,14,3.484009981,3779218459,3779218533,3771301805,0,internal_timestamp,71.65499878,1562313005,33.89559937,0,7.585599899,1026.798346,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('28',)",3771301805,14,3.484019995,3779218459,3779218533,3771301805,0,internal_timestamp,71.65399933,1562313005,33.89569855,0,7.585599899,1026.79842,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('29',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.65899658,1562313005,33.89580154,0,7.585599899,1026.798524,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('30',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.66400146,1562313005,33.89580154,0,7.585599899,1026.798547,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('31',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.66500092,1562313005,33.89580154,0,7.585599899,1026.798551,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('32',)",3771301805,14,3.484019995,3779218459,3779218533,3771301805,0,internal_timestamp,71.67199707,1562313005,33.89559937,0,7.585700035,1026.79841,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('33',)",3771301805,14,3.483999968,3779218459,3779218533,3771301805,0,internal_timestamp,71.67099762,1562313005,33.895401,0,7.585700035,1026.79825,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('34',)",3771301805,14,3.483999968,3779218459,3779218533,3771301805,0,internal_timestamp,71.67199707,1562313005,33.89530182,0,7.585700035,1026.798176,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('35',)",3771301805,14,3.483999968,3779218459,3779218533,3771301805,0,internal_timestamp,71.6780014,1562313005,33.89530182,0,7.585700035,1026.798204,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('36',)",3771301805,14,3.484009981,3779218459,3779218533,3771301805,0,internal_timestamp,71.68399811,1562313005,33.895401,0,7.585800171,1026.798295,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('37',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.68599701,1562313005,33.89559937,0,7.585800171,1026.79846,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('38',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.68699646,1562313005,33.89569855,0,7.585700035,1026.798557,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('39',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.68800354,1562313005,33.89569855,0,7.585700035,1026.798562,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('40',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.69400024,1562313005,33.89580154,0,7.585599899,1026.798684,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('41',)",3771301805,14,3.484019995,3779218459,3779218533,3771301805,0,internal_timestamp,71.69499969,1562313005,33.89569855,0,7.585599899,1026.798608,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('42',)",3771301805,14,3.484019995,3779218459,3779218533,3771301805,0,internal_timestamp,71.7009964,1562313005,33.89569855,0,7.585599899,1026.798636,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('43',)",3771301805,14,3.484030008,3779218459,3779218533,3771301805,0,internal_timestamp,71.70400238,1562313005,33.89580154,0,7.585599899,1026.79873,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('44',)",3771301805,14,3.484040022,3779218459,3779218533,3771301805,0,internal_timestamp,71.70800018,1562313005,33.89590073,0,7.585599899,1026.798827,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('45',)",3771301805,14,3.484040022,3779218459,3779218533,3771301805,0,internal_timestamp,71.70800018,1562313005,33.89590073,0,7.585599899,1026.798827,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('46',)",3771301806,14,3.484040022,3779218459,3779218533,3771301806,0,internal_timestamp,71.71099854,1562313006,33.89590073,0,7.585599899,1026.79884,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('47',)",3771301806,14,3.484030008,3779218459,3779218533,3771301806,0,internal_timestamp,71.71600342,1562313006,33.89569855,0,7.585700035,1026.79869,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('48',)",3771301806,14,3.484019995,3779218459,3779218533,3771301806,0,internal_timestamp,71.72100067,1562313006,33.89559937,0,7.585700035,1026.798635,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('49',)",3771301806,14,3.484019995,3779218459,3779218533,3771301806,0,internal_timestamp,71.72399902,1562313006,33.89550018,0,7.585700035,1026.798571,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
